86,0.95934,4.2225,0.91986,1.9116,0.97513,10.438
87,0.95622,4.1729,0.91,1.901,0.96981,10.313
88,0.95292,4.1259,0.9007,1.8914,0.96502,10.193
89,0.94945,4.0813,0.89191,1.8827,0.96057,10.077
90,0.94581,4.0388,0.88358,1.8743,0.95633,9.9666
91,0.94199,3.9983,0.87565,1.8663,0.95219,9.8598
92,0.938,3.9596,0.86808,1.8583,0.94809,9.7568
93,0.93384,3.9224,0.86083,1.8502,0.94396,9.6574
94,0.9295,3.8868,0.85387,1.8421,0.93977,9.5612
95,0.92499,3.8525,0.84715,1.8338,0.93549,9.4681
96,0.92031,3.8193,0.84064,1.8252,0.93109,9.3777
97,0.91545,3.7872,0.83433,1.8164,0.92657,9.29
98,0.91042,3.7561,0.82817,1.8073,0.9219,9.2046
99,0.90521,3.7258,0.82215,1.798,0.91709,9.1213
100,0.89983,3.6962,0.81624,1.7883,0.91212,9.0401
101,0.89428,3.6672,0.81042,1.7783,0.90698,8.9606
102,0.89437,3.6399,0.80519,1.7701,0.90298,8.8845
103,0.89731,3.6151,0.80076,1.7658,0.90106,8.8132
104,0.90019,3.5929,0.79699,1.7646,0.9007,8.7471
105,0.90303,3.5731,0.79377,1.7653,0.90124,8.6857
106,0.90582,3.5553,0.79102,1.7673,0.90239,8.6287
107,0.90856,3.5395,0.78867,1.7702,0.90396,8.5759
108,0.91125,3.5254,0.7867,1.7738,0.90583,8.527
109,0.91389,3.513,0.78507,1.7778,0.9079,8.4818
110,0.91649,3.5021,0.78374,1.7821,0.9101,8.44
111,0.91903,3.4926,0.78268,1.7866,0.91239,8.4015
112,0.92153,3.4843,0.78188,1.7912,0.91473,8.3661
113,0.92397,3.4773,0.7813,1.7958,0.9171,8.3335
114,0.92637,3.4713,0.78093,1.8005,0.91947,8.3037
115,0.92872,3.4664,0.78075,1.8051,0.92184,8.2765
116,0.93102,3.4623,0.78073,1.8098,0.92418,8.2516
117,0.93327,3.4591,0.78086,1.8143,0.9265,8.229
118,0.93547,3.4567,0.78113,1.8188,0.92878,8.2085
119,0.93762,3.455,0.78152,1.8232,0.93103,8.1901
120,0.93973,3.4539,0.78201,1.8276,0.93323,8.1734
